"Farm","cowid","birth_date","ear_tag_id"
409,2,2016-07-09,"840003202970166"
409,3,2021-03-26,"840003252641789"
409,5,2021-03-26,"840003251558524"
409,6,2019-03-26,"840003252641799"
409,7,2020-01-01,"840003211300538"
409,11,2016-08-11,"840003143087452"
409,12,2017-01-09,"840003213101645"
409,13,2020-03-26,"42WLU5001"
409,13,2020-03-26,"840003269615200"
409,14,2021-03-26,"840003262436235"
409,16,2020-01-04,"840003211300714"
409,17,2021-03-26,"42WLU5002"
409,18,2019-03-26,"42WLU5003"
409,18,2019-03-26,"840003269615180"
409,19,2017-01-22,"840003137475531"
409,20,2020-01-05,"840003211300750"
409,21,2019-03-26,"840003269615206"
409,22,2017-01-04,"840003141068625"
409,24,2021-03-26,"840003251558509"
409,25,2021-03-26,"42WLU5005"
409,25,2021-03-26,"840003269615224"
409,26,2020-01-05,"840003211300600"
409,27,2021-03-26,"840003251558530"
409,28,2020-01-05,"840003211300582"
409,29,2021-03-26,"42WLU5006"
409,29,2021-03-26,"840003269615188"
409,31,2021-03-26,"42WLU5007"
409,31,2021-03-26,"840003269615210"
409,32,2020-01-06,"840003211300667"
409,33,2020-01-06,"840003211300576"
409,34,2021-03-26,"42WLU5017"
409,34,2021-03-26,"840003269615201"
409,36,2020-01-07,"840003211300699"
409,38,2021-03-26,"42WLU5008"
409,38,2021-03-26,"840003269615196"
409,40,2017-02-07,"840003136887312"
409,43,2021-03-26,"840003251558515"
409,44,2019-03-26,"42WLU5009"
409,44,2019-03-26,"840003269615225"
409,45,2020-01-12,"840003211300572"
409,46,2020-01-13,""
409,46,2020-01-13,"840003211300642"
409,46,2020-01-13,"840003269615179"
409,46,2020-01-13,NA
409,47,2020-01-13,"840003211300609"
409,48,2016-06-13,"840003205405246"
409,49,2017-02-08,"840003140115296"
409,50,2017-02-01,"840003131890607"
409,51,2019-03-26,"42WLU5010"
409,52,2020-01-14,"840003211300680"
409,52,2020-01-14,"840003262436253"
409,52,2020-01-14,NA
409,53,2020-01-14,"840003211300560"
409,56,2017-02-11,"840003131890673"
409,57,2021-03-26,"840003251558507"
409,58,2021-03-26,"840003252641783"
409,59,2017-02-28,"840003131890775"
409,60,2016-12-15,"840003131537606"
409,61,2017-02-11,"840003139778200"
409,62,2017-02-27,"840003131890765"
409,63,2017-02-08,"840003137475797"
409,64,2021-03-26,"840003259839457"
409,66,2021-03-26,"42WLU5011"
409,66,2021-03-26,"840003259839449"
409,67,2019-03-26,"840003259839445"
409,68,2019-03-26,"42WLU5013"
409,70,2021-03-26,"840003259839464"
409,71,2017-02-05,"840003205405427"
409,75,2020-01-20,"840003211300773"
409,75,2020-01-20,"840003262436266"
409,75,2020-01-20,NA
409,76,2021-03-26,"840003269615203"
409,77,2021-03-26,"840003269615228"
409,78,2016-11-05,"840003207953416"
409,79,2017-03-09,"840003128568627"
409,80,2020-01-22,"840003211300684"
409,82,2021-03-26,"840003269615187"
409,83,2021-03-26,"840003262436250"
409,84,2021-03-26,"840003252641817"
409,85,2019-03-26,"840003251558540"
409,86,2020-01-24,"840003211300712"
409,86,2020-01-24,"840003269615217"
409,86,2020-01-24,NA
409,88,2021-03-26,"840003262436240"
409,90,2016-03-19,"840003136056744"
409,92,2017-03-22,"840003131890917"
409,93,2017-04-02,"840003202969403"
409,94,2021-03-26,"840003262436274"
409,95,2021-03-26,"840003269615186"
409,96,2017-03-13,"840003259839483"
409,97,2021-03-26,"840003259839463"
409,98,2017-02-02,"840003132245747"
409,99,2021-03-26,"42WLU5021"
409,99,2021-03-26,"840003269615193"
409,101,2021-03-26,"840003269615202"
409,102,2020-01-27,""
409,102,2020-01-27,"840003211300749"
409,102,2020-01-27,"840003269615182"
409,102,2020-01-27,NA
409,104,2021-03-26,"840003262436258"
409,105,2021-03-26,"42WLU5023"
409,106,2020-01-28,"840003211300729"
409,106,2020-01-28,"840003262436278"
409,106,2020-01-28,NA
409,107,2020-01-28,""
409,107,2020-01-28,"840003211300711"
409,107,2020-01-28,NA
409,108,2019-03-26,"42WLU5036"
409,108,2019-03-26,"840003269615184"
